EDL	Record In	Record Out	Clipname	Subtitle

https://chrt.fm/track/53A61E/pdst.fm/e/www.podtrac.com/pts/redirect.mp3/waaa.wnyc.org/radiolab_podcast/radiolab_podcast120222_ashes.mp3?awCollectionId=15957&awEpisodeId=1276180

A global pandemic. Thousands dying. A passive government. An afflicted group
fueled by grief and anger. In this episode, first aired in 2020, Reporter
Tracie Hunte wanted to understand this moment of pain and confusion. As she
looked back three decades, she found a complicated answer to a simple question:
when nothing seems to work, how do you make change?

Special thanks to Dr. Anthony Fauci.

Episode Credits:

Reported by Tracie HuntProduced by Matt Kielty

Our newsletter comes out every Wednesday. It includes short essays,
recommendations, and details about other ways to interact with the show. Sign
up (https://radiolab.org/newsletter)!

Radiolab is supported by listeners like you. Support Radiolab by becoming a
member of The Lab (https://members.radiolab.org/) today.

Follow our show on Instagram, Twitter and Facebook @radiolab, and share your
thoughts with us by emailing radiolab@wnyc.org

Leadership support for Radiolab’s science programming is provided by the Gordon
and Betty Moore Foundation, Science Sandbox, a Simons Foundation Initiative,
and the John Templeton Foundation. Foundational support for Radiolab was
provided by the Alfred P. Sloan Foundation.

EDL	00:00:00,000	00:00:01,360	| The Ashes on the Lawn |	I'm Katie Thornton. 
EDL	00:21:47,660	00:21:48,020	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:21:48,020	00:21:51,350	| The Ashes on the Lawn |	I am a member of Radio labs exclusive membership program. 
EDL	00:21:51,350	00:21:59,206	| The Ashes on the Lawn |	The lab my membership provides radio lab with a steady source of funding so the team can continue to tell stories about our crazy world 
EDL	00:21:59,206	00:22:09,550	| The Ashes on the Lawn |	and I get access to exclusive live events and bonus content, so join me in supporting the show we love sign up at radiolab.org/join
EDL	00:22:09,550	00:22:11,150	| The Ashes on the Lawn |	[ SPACE 1.6 secs ]
EDL	00:22:11,150	00:22:21,045	| The Ashes on the Lawn |	It's almost a cliche to say that the holiday season can be a lonely, hard time for all of us, but especially for those of us who are estranged from friends or family, 
EDL	00:22:21,045	00:22:31,570	| The Ashes on the Lawn |	I asked my parents to stop criticizing me and my family and my dad blew up and said he wouldn't come to Christmas dinner and that he wanted us to change his return flight to an earlier date. 
EDL	00:22:31,570	00:22:34,740	| The Ashes on the Lawn |	I'm ANNA sale listen to a new three part. 
EDL	00:22:34,740	00:22:44,620	| The Ashes on the Lawn |	Series about estrangement from debt, sex and money wherever you get podcasts, this is radio lab. 

* back
EDL	00:22:44,620	00:22:48,480	| The Ashes on the Lawn |	I'm Lulu Miller and we are back with our story about protests from Tracy hunt. 
EDL	00:22:48,480	00:23:00,710	| The Ashes on the Lawn |	Okay, so I'm starting a whole new story now and this is getting it like if you're trying to push a government or the world to pay attention and make change. 
EDL	00:23:00,710	00:23:01,430	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:23:01,430	00:23:06,070	| The Ashes on the Lawn |	How do you do that, how do you do that while also being true to yourself. 
EDL	00:23:06,070	00:23:08,920	| The Ashes on the Lawn |	Your experience, your emotions, your ideals, right. 
EDL	00:23:08,920	00:23:09,350	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:23:09,350	00:23:17,460	| The Ashes on the Lawn |	So I was looking back to the early AIDS movement for insights on some of those questions and a familiar name popped out. 

EDL	00:23:17,460	00:23:18,250	| The Ashes on the Lawn |	Hello, good morning. 
EDL	00:23:18,250	00:23:22,880	| The Ashes on the Lawn |	Sorry, a doctor Anthony Fauci, I wasn't expecting you to pick up the phone. 
EDL	00:23:22,880	00:23:23,460	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:23:23,460	00:23:25,110	| The Ashes on the Lawn |	The Fauci is in this story. 
EDL	00:23:25,110	00:23:27,490	| The Ashes on the Lawn |	Well, I'm here if you want me to go away, I'll leave. 
EDL	00:23:27,490	00:23:28,560	| The Ashes on the Lawn |	No, no, do not. 
EDL	00:23:28,560	00:23:29,200	| The Ashes on the Lawn |	Please don't go away. 
EDL	00:23:29,200	00:23:31,790	| The Ashes on the Lawn |	The fouch is actually a big part of the story. 
EDL	00:23:31,790	00:23:42,290	| The Ashes on the Lawn |	Well, yeah, back in the eighties early in the 8th crisis he had the exact same job that he has now like truly the same title, the exact same title job. 
EDL	00:23:42,290	00:23:51,160	| The Ashes on the Lawn |	Everything the head of not yet and back then he was studying immunology, the molecular architecture of fevers. 
EDL	00:23:51,160	00:23:55,440	| The Ashes on the Lawn |	Then he heard about this weird disease. 
EDL	00:23:55,440	00:24:03,451	| The Ashes on the Lawn |	HIV AIDS before we knew it was HIV that in the United States at the time I was afflicting mostly white, young gay men, 
EDL	00:24:03,451	00:24:15,920	| The Ashes on the Lawn |	you know who would have thought back in the 80s that you would have 78 million infections and 37 million deaths from a disease that no one wanted to pay attention to his mentors at the time were like. 
EDL	00:24:15,920	00:24:19,650	| The Ashes on the Lawn |	What are you doing you're on this path to like success. 
EDL	00:24:19,650	00:24:28,430	| The Ashes on the Lawn |	Why do you want to work with AIDS patients, but I had a great deal of empathy for these gay young men, so he ignored his mentors. 

EDL	00:24:28,430	00:24:38,630	| The Ashes on the Lawn |	Yeah, now let's go to the lecture and join Dr Anthony Fauci as he talks about AIDS and he turned his career to focus almost completely on AIDS research. 
EDL	00:24:38,630	00:24:44,900	| The Ashes on the Lawn |	I'm working directly on on AIDS clinically and from a basic science, and it was a transforming time in my life. 
EDL	00:24:44,900	00:24:53,580	| The Ashes on the Lawn |	That's the amount of effort and energy that's being put into it by biomedical science as a scientist and as a physician taking care of these patients and under his guidance. 
EDL	00:24:53,580	00:24:57,772	| The Ashes on the Lawn |	The NIH started to make huge leaps and bounds in AIDS research 
EDL	00:24:57,772	00:25:02,970	| The Ashes on the Lawn |	Dr. Anthony Fauci is hopeful, but the answer to this dreaded disease may be in sight. 
EDL	00:25:02,970	00:25:03,500	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:25:03,500	00:25:05,900	| The Ashes on the Lawn |	You know you hear that story and you're like, wow, Fauci. 
EDL	00:25:05,900	00:25:09,870	| The Ashes on the Lawn |	Great man, great man, then great man now, so brave. 
EDL	00:25:09,870	00:25:17,425	| The Ashes on the Lawn |	Wow, okay, AIDS activists at the time stupidity, incompetence and digits with pouchy like that Dr. 
EDL	00:25:17,425	00:25:20,501	| The Ashes on the Lawn |	Anthony pouch is presiding the research one 

** Letter
EDL	00:25:20,501	00:25:26,290	| The Ashes on the Lawn |	can I read you a little of Larry Kramer's open letter to you because it's so means I feel like I have to ask permission first. 
EDL	00:25:26,290	00:25:27,453	| The Ashes on the Lawn |	No, no, no, of course. 
EDL	00:25:27,453	00:25:31,870	| The Ashes on the Lawn |	I mean, that was the famous San Francisco Examiner open letter to an accompaniment idiot. 
EDL	00:25:31,870	00:25:32,800	| The Ashes on the Lawn |	[ SPACE 0.9 secs ]
EDL	00:25:32,800	00:25:34,330	| The Ashes on the Lawn |	Yeah, it's like Anthony Fauci. 
EDL	00:25:34,330	00:25:35,470	| The Ashes on the Lawn |	You are a murderer. 
EDL	00:25:35,470	00:25:46,380	| The Ashes on the Lawn |	Your refusal to hear the screams of AIDS activists early in the crisis resulted in the deaths of thousands of queers with 270000 dead from AIDS and millions more infected with HIV. 
EDL	00:25:46,380	00:25:59,950	| The Ashes on the Lawn |	You should not be honored at a dinner you should be put before a firing squad, right, that that I would say he was trying to gain my attention and he certainly accomplished his goal. 
EDL	00:25:59,950	00:26:00,290	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:26:00,290	00:26:01,550	| The Ashes on the Lawn |	He got my attention. 
EDL	00:26:01,550	00:26:06,240	| The Ashes on the Lawn |	Wow, yeah so that letter was published in 1988. 
EDL	00:26:06,240	00:26:11,990	| The Ashes on the Lawn |	Wait, but okay, so before we go on with Fauci like and so was he doing that like he made this move to go work on it. 
EDL	00:26:11,990	00:26:19,510	| The Ashes on the Lawn |	But then was he somehow doing something something dangerous, yeah, well, there were there were bunch of issues. 
EDL	00:26:19,510	00:26:25,370	| The Ashes on the Lawn |	This is Peter Staley, long term age activist and LGBTQ rights activist. 
EDL	00:26:25,370	00:26:30,534	| The Ashes on the Lawn |	He was a big time member of the acts of community and he says that sure 
EDL	00:26:30,534	00:26:40,930	| The Ashes on the Lawn |	yes, Dr. Fauci was doing a lot of work on AIDS, but he was head of NIAID and they were the primary institute at NIH to handle the bulk of the research back then. 
EDL	00:26:40,930	00:26:42,140	| The Ashes on the Lawn |	[ SPACE 1.2 secs ]
EDL	00:26:42,140	00:26:50,820	| The Ashes on the Lawn |	In essence, he was the head of AIDS research for the us government, and we had problems with that effort back in the eighties. 
EDL	00:26:50,820	00:26:52,790	| The Ashes on the Lawn |	The drug trials that they were running. 
EDL	00:26:52,790	00:27:01,880	| The Ashes on the Lawn |	They had a pretty disgraceful track record of not enrolling the full diversity of patients tended to be really white and really male. 
EDL	00:27:01,880	00:27:02,220	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:27:02,220	00:27:07,930	| The Ashes on the Lawn |	Even though the numbers of an affected women and African Americans was increasing. 
EDL	00:27:07,930	00:27:13,285	| The Ashes on the Lawn |	And so like we're getting drugs that we don't even know if they work on anyone who's not a gay white man 
EDL	00:27:13,285	00:27:20,220	| The Ashes on the Lawn |	and the board was also making all these decisions without the input of people who actually were living with AIDS. 
EDL	00:27:20,220	00:27:20,750	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:27:20,750	00:27:27,950	| The Ashes on the Lawn |	You know the board was just these doctors and researchers who were playing it kind of safe, frankly, you know we had AZT. 
EDL	00:27:27,950	00:27:30,910	| The Ashes on the Lawn |	We had the first drug, but AZT was toxic. 
EDL	00:27:30,910	00:27:33,970	| The Ashes on the Lawn |	It had all these terrible side effects. 
EDL	00:27:33,970	00:27:44,650	| The Ashes on the Lawn |	And Peter Staley and others thought that there were lots of other drugs out there that could be even more useful and we wanted a robust research effort on those drugs. 
EDL	00:27:44,650	00:27:53,010	| The Ashes on the Lawn |	But Fauci and his team, they just started testing the wazoo at AZT and a few times when they did have a new drug. 
EDL	00:27:53,010	00:27:58,936	| The Ashes on the Lawn |	It took years and years for it to make it to anybody with AIDS who could actually benefit from it 
EDL	00:27:58,936	00:28:01,900	| The Ashes on the Lawn |	and activists were like people are dying now. 
EDL	00:28:01,900	00:28:06,539	| The Ashes on the Lawn |	He's not moving fast enough on the things we want, so they put together a list of demands 
EDL	00:28:06,539	00:28:10,802	| The Ashes on the Lawn |	and they decide to bring them to him at the NIH 
EDL	00:28:10,802	00:28:17,426	| The Ashes on the Lawn |	okay in act of land that can't be as simple as showing up on a beautiful crisp morning 
EDL	00:28:17,426	00:28:28,540	| The Ashes on the Lawn |	in Bethesda Maryland onto the serene campus of the NIH all these people over 1000 demonstrators from all around the country showed up and started marching. 
EDL	00:28:28,540	00:28:30,120	| The Ashes on the Lawn |	[ SPACE 1.6 secs ]
EDL	00:28:30,120	00:28:34,580	| The Ashes on the Lawn |	The cops were already cops on horseback, they were quite prepared. 
EDL	00:28:34,580	00:28:36,750	| The Ashes on the Lawn |	They were also TV cameras and reporters. 
EDL	00:28:36,750	00:28:37,350	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]

EDL	00:28:37,350	00:28:44,141	| The Ashes on the Lawn |	And Peter knew that if we put on a really big fancy display that gives the media a really colorful picture, 
EDL	00:28:44,141	00:28:50,203	| The Ashes on the Lawn |	you increased your odds of appearing on the front page and he had these colored smoke bombs, 
EDL	00:28:50,203	00:28:57,590	| The Ashes on the Lawn |	surplus military smoke grenades hidden behind protest signs on the top of really long bamboo poles. 
EDL	00:28:57,590	00:29:05,250	| The Ashes on the Lawn |	So they marched along with others but then at the right moment all at the same time we dropped our poles. 
EDL	00:29:05,250	00:29:15,220	| The Ashes on the Lawn |	ripped off the signs, pulled the pins of these things and then raise the pulse back up and these plumages of huge thick, red, orange. 
EDL	00:29:15,220	00:29:16,510	| The Ashes on the Lawn |	[ SPACE 1.3 secs ]
EDL	00:29:16,510	00:29:20,880	| The Ashes on the Lawn |	blue, purple and pinks and greens started pouring out at the top of these poles. 
EDL	00:29:20,880	00:29:27,404	| The Ashes on the Lawn |	And beneath this massive rainbow war cloud they charged through the crowd 
EDL	00:29:27,404	00:29:37,090	| The Ashes on the Lawn |	and the crowd abrupted and then it was just an entire day of well-orchestrated chaos. 
EDL	00:29:37,090	00:29:37,390	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:29:37,390	00:29:43,930	| The Ashes on the Lawn |	This was a major day of protest by AIDS acrobats in this country and I mean, everywhere you looked something was happening. 
EDL	00:29:43,930	00:29:47,900	| The Ashes on the Lawn |	Oh, people were giving speeches. 
EDL	00:29:47,900	00:29:49,410	| The Ashes on the Lawn |	[ SPACE 1.5 secs ]
EDL	00:29:49,410	00:29:54,270	| The Ashes on the Lawn |	Nash Walker is hazy, too black women talking about their experiences living with AIDS. 
EDL	00:29:54,270	00:29:55,900	| The Ashes on the Lawn |	[ SPACE 1.6 secs ]
EDL	00:29:55,900	00:29:58,070	| The Ashes on the Lawn |	They were people dressed up in lab coats. 
EDL	00:29:58,070	00:30:00,700	| The Ashes on the Lawn |	You don't fit our profile making fun of sciences. 
EDL	00:30:00,700	00:30:13,330	| The Ashes on the Lawn |	Ah yes, there is singing Diane's one section of the lawn was transformed into a graveyard, air horns punctured the noise of the crowd. 
EDL	00:30:13,330	00:30:16,660	| The Ashes on the Lawn |	Basically, what we're doing is blasting the horns every 12 minutes to mind people. 
EDL	00:30:16,660	00:30:22,206	| The Ashes on the Lawn |	That's statistically right now every 12 minutes someone in America is dying from AIDS 
EDL	00:30:22,206	00:30:31,805	| The Ashes on the Lawn |	and at the center of all this noise and color stood for people dressed in hooded black robes, 
EDL	00:30:31,805	00:30:37,340	| The Ashes on the Lawn |	and they carried a black coffin that had the words [beep] you Fauci written on its side. 
EDL	00:30:37,340	00:30:38,940	| The Ashes on the Lawn |	[ SPACE 1.6 secs ]
EDL	00:30:38,940	00:30:47,680	| The Ashes on the Lawn |	They also had a really giant Fauci head, impelled on a spike and there was blood coming out of his ears. 
EDL	00:30:47,680	00:30:56,700	| The Ashes on the Lawn |	nose and mouth and his eyes, and then they burned him in effigy. 
EDL	00:30:56,700	00:30:58,020	| The Ashes on the Lawn |	They burned him in effigy?
EDL	00:30:58,020	00:31:09,150	| The Ashes on the Lawn |	Yes, ACT UP was publicly taking that list of demands and tests, shaking it in Fauci's face. 
EDL	00:31:09,150	00:31:10,680	| The Ashes on the Lawn |	[ SPACE 1.5 secs ]
EDL	00:31:10,680	00:31:12,790	| The Ashes on the Lawn |	I mean and nailing it to his door. 
EDL	00:31:12,790	00:31:15,880	| The Ashes on the Lawn |	[ SPACE 3.1 secs ]
EDL	00:31:15,880	00:31:17,090	| The Ashes on the Lawn |	Wow, that is intense. 
EDL	00:31:17,090	00:31:26,260	| The Ashes on the Lawn |	Yeah and Fauci is sitting up in his office several floors up looking out the window. 
EDL	00:31:26,260	00:31:36,460	| The Ashes on the Lawn |	They were really confronting me in a very, very aggressive way and as he was taking it all in, I saw a sip from my window and missed all this chaos. 
EDL	00:31:36,460	00:31:42,670	| The Ashes on the Lawn |	The slight figure of Peter Sally get boosted up onto this ledge above the front door of the building. 
EDL	00:31:42,670	00:31:44,180	| The Ashes on the Lawn |	Yeah I got onto the overhead. 
EDL	00:31:44,180	00:31:51,180	| The Ashes on the Lawn |	You can see that he was on this little overhang and started hanging up banners and the crowd cheered. 
EDL	00:31:51,180	00:32:00,010	| The Ashes on the Lawn |	But the cops were having none of it that day and the police were going to climb up and get him they lodged a few of their up under the overhang and tackled me. 
EDL	00:32:00,010	00:32:03,988	| The Ashes on the Lawn |	The police are scrambling, lowered me down in the hands of a dozen cops 
EDL	00:32:03,988	00:32:09,032	| The Ashes on the Lawn |	and they had to take him to the police van and the police van is like in the back of the building 
EDL	00:32:09,032	00:32:10,525	| The Ashes on the Lawn |	and because of the building, is now surrounded by activists, 
EDL	00:32:10,525	00:32:16,240	| The Ashes on the Lawn |	the only way to get him to the back of the building is to take him through the building. 
EDL	00:32:16,240	00:32:16,610	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:32:16,610	00:32:19,040	| The Ashes on the Lawn |	So they handcuffed me behind my back. 
EDL	00:32:19,040	00:32:27,446	| The Ashes on the Lawn |	An officer grabbed my elbow and started pauling me through the first floor building 31 
EDL	00:32:27,446	00:32:35,018	| The Ashes on the Lawn |	and as we're going down this wide corridor, I see that familiar white lab coat 
EDL	00:32:35,018	00:32:42,633	| The Ashes on the Lawn |	on that short scientist coming towards me, he had handcuffs behind his back 
EDL	00:32:42,633	00:32:48,510	| The Ashes on the Lawn |	and this police officer was taken away and he passed me and he said, Tony, and he goes. 
EDL	00:32:48,510	00:32:51,110	| The Ashes on the Lawn |	Peter and Tony said, are you all right, and I said. 
EDL	00:32:51,110	00:32:52,960	| The Ashes on the Lawn |	Yeah, yeah, just doing my job. 
EDL	00:32:52,960	00:32:53,320	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:32:53,320	00:33:01,490	| The Ashes on the Lawn |	How about you, and he said, well, we're trying to keep operating under these conditions and so good luck with that. 
EDL	00:33:01,490	00:33:08,140	| The Ashes on the Lawn |	I will talk tomorrow and I said, okay, Peter, see you later and the cop looked at me like what the hell is going on here? 
EDL	00:33:08,140	00:33:09,840	| The Ashes on the Lawn |	Wait, they know each other. 
EDL	00:33:09,840	00:33:20,048	| The Ashes on the Lawn |	Yeah and and this is the first little piece of the puzzle in explaining why this action was so different from the ashes action or even the quilt 
EDL	00:33:20,048	00:33:25,120	| The Ashes on the Lawn |	and I'm gonna get into that right after this break, radio lab will be back in a moment. 

* break
EDL	00:33:25,120	00:33:26,610	| The Ashes on the Lawn |	[ SPACE 1.5 secs ]
EDL	00:33:26,610	00:33:29,800	| The Ashes on the Lawn |	Hi, my name is Miranda, and I'm calling from Brussels in Belgium. 
EDL	00:33:29,800	00:33:30,220	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:33:30,220	00:33:33,880	| The Ashes on the Lawn |	I am a member of Radio labs exclusive membership, programmed the lab. 
EDL	00:33:33,880	00:33:34,270	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:33:34,270	00:33:51,650	| The Ashes on the Lawn |	My membership provides radio lab with a steady source of funding so the team can continue to tell about our crazy world and I get access to exclusive live events and bonus content, so join me in supporting the show we love sign up at radiolab dot Org slash joint. 
EDL	00:33:51,650	00:33:56,190	| The Ashes on the Lawn |	[ SPACE 4.5 secs ]

* back
EDL	00:33:56,190	00:34:02,330	| The Ashes on the Lawn |	Hi, I'm Lulu Miller and I'm Tracy, hence this is radio lab and today you were talking about well. 
EDL	00:34:02,330	00:34:12,230	| The Ashes on the Lawn |	Kind of how you actually make change in the world and doing that by looking at a bunch of different kinds of protests that took place during the AIDS crisis, right. 
EDL	00:34:12,230	00:34:20,860	| The Ashes on the Lawn |	And before the break we heard from Dr. Anthony Fauci, who at the time was leading the country's efforts to find a cure for AIDS, 
EDL	00:34:20,860	00:34:27,840	| The Ashes on the Lawn |	and he was actually being targeted by ACT UP because they felt that he was failing the AIDS community 
EDL	00:34:27,840	00:34:32,026	| The Ashes on the Lawn |	with the type of research he was running and when we left off, 
EDL	00:34:32,026	00:34:39,399	| The Ashes on the Lawn |	Peter Sally had just been arrested at a protest and as he was being escorted away by officers, 
EDL	00:34:39,399	00:34:44,019	| The Ashes on the Lawn |	they have this you know they ran into each other in the hallways of the NIH 
EDL	00:34:44,019	00:34:51,288	| The Ashes on the Lawn |	and then it turns out that this whole time Peter Staley and Dr. Fauci were actually friends 
EDL	00:34:51,288	00:34:58,842	| The Ashes on the Lawn |	and you know that surprised the police officers at the time and it also surprised us as we were reporting the story 
EDL	00:34:58,842	00:35:02,920	| The Ashes on the Lawn |	right, and so you were just getting ready to explain how they know each other. 

EDL	00:35:02,920	00:35:03,500	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:35:03,500	00:35:09,010	| The Ashes on the Lawn |	Yes, and why this particular protest was different from any of the other protests that had come before it. 
EDL	00:35:09,010	00:35:15,800	| The Ashes on the Lawn |	So we have to go back to 1988 to that letter that Larry Kramer wrote to Fauci. 
EDL	00:35:15,800	00:35:17,660	| The Ashes on the Lawn |	Where he called him a murderer. 
EDL	00:35:17,660	00:35:18,390	| The Ashes on the Lawn |	Do you remember that? 
EDL	00:35:18,390	00:35:22,810	| The Ashes on the Lawn |	Yeah, the whole murderer thing, of course, of course I mean Dr. Fauci she saw that letter he thought. 
EDL	00:35:22,810	00:35:29,820	| The Ashes on the Lawn |	If somebody is that angry to be able to print that in a national newspaper. 
EDL	00:35:29,820	00:35:30,150	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:35:30,150	00:35:35,540	| The Ashes on the Lawn |	I mean, I got to find out what is it that has stimulated him to do that. 
EDL	00:35:35,540	00:35:36,480	| The Ashes on the Lawn |	[ SPACE 0.9 secs ]
EDL	00:35:36,480	00:35:41,187	| The Ashes on the Lawn |	So he just called this guy who called him a murderer called him on the phone and said, 
EDL	00:35:41,187	00:35:49,208	| The Ashes on the Lawn |	let's figure this out and despite their differences, we know we came to a to an agreement that we we both had the same kind of goal. 
EDL	00:35:49,208	00:35:54,020	| The Ashes on the Lawn |	Yeah, well, I'm I'm I'm really surprised by that because like you know, 
EDL	00:35:54,020	00:35:58,757	| The Ashes on the Lawn |	I'm thinking of like the store might be an age protest when people literally have like pictures of your heads on a 
EDL	00:35:58,757	00:36:03,246	| The Ashes on the Lawn |	of your head mistake and saying, you know F U Fauci 
EDL	00:36:03,246	00:36:08,369	| The Ashes on the Lawn |	well, no one was really able to listen to their message because they were too put off 
EDL	00:36:08,369	00:36:17,997	| The Ashes on the Lawn |	by the tactics and I think the thing that I was able to do was to separate the attacks on me 
EDL	00:36:17,997	00:36:26,840	| The Ashes on the Lawn |	as a symbolic representative of the federal government that they felt was ignoring their needs. 
EDL	00:36:26,840	00:36:27,430	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]

* Fauci why you so good

EDL	00:36:27,430	00:36:30,350	| The Ashes on the Lawn |	Dr. Fauci, I wonder if I can follow up on that. 
EDL	00:36:30,350	00:36:33,650	| The Ashes on the Lawn |	That's our host Dad Emerald he was sitting in on the interview with Fauci. 
EDL	00:36:33,650	00:36:39,220	| The Ashes on the Lawn |	It's a kind of an extraordinary emotional jujitsu (柔术) that you're describing. 
EDL	00:36:39,220	00:36:40,310	| The Ashes on the Lawn |	[ SPACE 1.1 secs ]
EDL	00:36:40,310	00:36:46,796	| The Ashes on the Lawn |	People are saying horrible things which could could be read as symbolically about about a person in a role 
EDL	00:36:46,796	00:36:51,591	| The Ashes on the Lawn |	or it could be taken quite personally and you're saying everybody around you is taking it quite personally, 
EDL	00:36:51,591	00:36:55,120	| The Ashes on the Lawn |	but you somehow were able to shift posture. 
EDL	00:36:55,120	00:36:56,240	| The Ashes on the Lawn |	[ SPACE 1.1 secs ]
EDL	00:36:56,240	00:36:58,990	| The Ashes on the Lawn |	Do you have any recollection of how you did it? 
EDL	00:36:58,990	00:37:08,530	| The Ashes on the Lawn |	Like what specifically got you out of defense and into receptive mode, you know, I think it's a complicated thing. 
EDL	00:37:08,530	00:37:08,880	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:37:08,880	00:37:10,540	| The Ashes on the Lawn |	It really dates back to my family. 
EDL	00:37:10,540	00:37:15,555	| The Ashes on the Lawn |	My mother and father were very much people who were quite tolerant of different opinions 
EDL	00:37:15,555	00:37:22,154	| The Ashes on the Lawn |	and part of not only my background, but the Jesuit training, both in high school and in college 
EDL	00:37:22,154	00:37:33,180	| The Ashes on the Lawn |	is that you care about people no matter who they are and you keep an open mind to opinion, once you become defensive and push back. 
EDL	00:37:33,180	00:37:45,480	| The Ashes on the Lawn |	You never hear what their message is and once you listened to what the concern was, I got this feeling that goodness they're right. 
EDL	00:37:45,480	00:37:47,060	| The Ashes on the Lawn |	[ SPACE 1.6 secs ]

EDL	00:37:47,060	00:37:53,080	| The Ashes on the Lawn |	Wow, it is so hard to picture a person in power responding like that today. 
EDL	00:37:53,080	00:37:53,540	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:37:53,540	00:37:57,970	| The Ashes on the Lawn |	You know, it seems like when someone spits on your face and says awful things about you 
EDL	00:37:57,970	00:38:07,650	| The Ashes on the Lawn |	the main move you see is people screaming back louder or like blocking you on social, not acknowledging or hating back. 
EDL	00:38:07,650	00:38:14,140	| The Ashes on the Lawn |	Yeah, I mean, there's a part of me like when I hear this story where I'm just like. 
EDL	00:38:14,140	00:38:19,918	| The Ashes on the Lawn |	You know, that's like a really easy way to make himself look good, but at the same time, you know 
EDL	00:38:19,918	00:38:28,997	| The Ashes on the Lawn |	even me who's like miss Senegal can't deny the fact that that was like a pretty cool move on statues part 
EDL	00:38:28,997	00:38:39,636	| The Ashes on the Lawn |	to turn that moment into a moment for like a conversation and after that initial phone call, 
EDL	00:38:39,636	00:38:46,579	| The Ashes on the Lawn |	Larry Kramer actually connected, Dr. Fauci with Peter Staley and a couple of other activists 

EDL	00:38:46,579	00:38:49,250	| The Ashes on the Lawn |	Fauci swung his office door open. 
EDL	00:38:49,250	00:38:53,473	| The Ashes on the Lawn |	I said it's time for me to put the theatrics aside and listen to what they are saying 
EDL	00:38:53,473	00:39:03,690	| The Ashes on the Lawn |	and we had a very healthy back and forth and you know a little while after that, those phone calls turned into dinner parties. 
EDL	00:39:03,690	00:39:13,960	| The Ashes on the Lawn |	These famous dinners we would have with him in Washington sitting down around the dinner table of my deputy at the time, Jim hill, they discussed ideas. 
EDL	00:39:13,960	00:39:20,510	| The Ashes on the Lawn |	Strategy, medicine, how we can and continue the dialogue of coming to some common ground. 
EDL	00:39:20,510	00:39:30,430	| The Ashes on the Lawn |	And now this is all still before Peter and others stormed the NIH and this is actually where Peter would bring up the list of ACT UP demands like hey Dr. 

EDL	00:39:30,430	00:39:30,790	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:39:30,790	00:39:33,150	| The Ashes on the Lawn |	Fauci, could you please pass the salt. 
EDL	00:39:33,150	00:39:37,470	| The Ashes on the Lawn |	And also we think that you really need to diverse about your trials. 
EDL	00:39:37,470	00:39:38,060	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:39:38,060	00:39:44,540	| The Ashes on the Lawn |	Hey, Dr. Fauci, this pie is so good what you put in it ah but you know what's not good is A T. 
EDL	00:39:44,540	00:39:47,730	| The Ashes on the Lawn |	Let's start testing more drugs and Fauci. 

EDL	00:39:47,730	00:39:49,840	| The Ashes on the Lawn |	Well, he kind of passed the buck. 
EDL	00:39:49,840	00:39:54,090	| The Ashes on the Lawn |	I mean, I had a lot of pushback from my own colleagues in the scientific community. 
EDL	00:39:54,090	00:39:55,760	| The Ashes on the Lawn |	He just had a lot of excuses. 
EDL	00:39:55,760	00:40:02,500	| The Ashes on the Lawn |	We were sick of hearing from him tell us for year dinner after dinner after dinner. 
EDL	00:40:02,500	00:40:03,640	| The Ashes on the Lawn |	I understand you. 
EDL	00:40:03,640	00:40:11,820	| The Ashes on the Lawn |	I agree with you, but I can't convince the executive committee and we were like screw that Peter and the others were like. 

EDL	00:40:11,820	00:40:15,530	| The Ashes on the Lawn |	You know what empathy and listening and dinners. 
EDL	00:40:15,530	00:40:16,890	| The Ashes on the Lawn |	It's not enough. 
EDL	00:40:16,890	00:40:22,500	| The Ashes on the Lawn |	So it was actually at one of these dinners, Peter told Dr. Fauci. 

